track_title,line,lyric,decade
Physical,1,I'm saying all the things that I know you'll like,1980
Physical,2,Making good conversation,1980
Physical,3,I gotta handle you just right,1980
Physical,4,You know what I mean,1980
Physical,5,I took you to an intimate restaurant,1980
Physical,6,Then to a suggestive movie,1980
Physical,7,There's nothing left to talk about,1980
Physical,8,Unless it's horizontally,1980
Physical,9,"Let's get physical, physical",1980
Physical,10,I wanna get physical,1980
Physical,11,Let's get into physical,1980
Physical,12,"Let me hear your body talk, your body talk",1980
Physical,13,Let me hear your body talk,1980
Physical,14,"Let's get physical, physical",1980
Physical,15,I wanna get physical,1980
Physical,16,Let's get into physical,1980
Physical,17,"Let me hear your body talk, your body talk",1980
Physical,18,Let me hear your body talk,1980
Physical,19,"I've been patient, I've been good",1980
Physical,20,Tried to keep my hands on the table,1980
Physical,21,It's gettin' hard this holdin' back,1980
Physical,22,If you know what I mean,1980
Physical,23,I'm sure you'll understand my point of view,1980
Physical,24,We know each other mentally,1980
Physical,25,You gotta know that you're bringin' out,1980
Physical,26,The animal in me,1980
Physical,27,"Let's get physical, physical",1980
Physical,28,I wanna get physical,1980
Physical,29,Let's get into physical,1980
Physical,30,"Let me hear your body talk, your body talk",1980
Physical,31,Let me hear your body talk,1980
Physical,32,"Let's get physical, physical",1980
Physical,33,I wanna get physical,1980
Physical,34,Let's get into physical,1980
Physical,35,"Let me hear your body talk, your body talk",1980
Physical,36,Let me hear your body talk,1980
Physical,37,"Let's get physical, physical",1980
Physical,38,I wanna get physical,1980
Physical,39,Let's get into physical,1980
Physical,40,"Let me hear your body talk, your body talk",1980
Physical,41,Let me hear your body talk,1980
Physical,42,"Let's get animal, animal",1980
Physical,43,I wanna get animal,1980
Physical,44,Let's get into animal,1980
Physical,45,Let me hear your body talk,1980
Physical,46,Let me hear your body talk,1980
Bette Davis Eyes,1,Her hair is Harlow gold,1980
Bette Davis Eyes,2,Her lips sweet surprise,1980
Bette Davis Eyes,3,Her hands are never cold,1980
Bette Davis Eyes,4,She's got Bette Davis eyes,1980
Bette Davis Eyes,5,She'll turn her music on you,1980
Bette Davis Eyes,6,You won't have to think twice,1980
Bette Davis Eyes,7,She's pure as New York snow,1980
Bette Davis Eyes,8,She got Bette Davis eyes,1980
Bette Davis Eyes,9,And she'll tease you,1980
Bette Davis Eyes,10,She'll unease you,1980
Bette Davis Eyes,11,All the better just to please you,1980
Bette Davis Eyes,12,She's precocious and she knows just,1980
Bette Davis Eyes,13,What it takes to make a pro blush,1980
Bette Davis Eyes,14,She got Greta Garbo stand off sighs,1980
Bette Davis Eyes,15,She's got Bette Davis eyes,1980
Bette Davis Eyes,16,She'll let you take her home,1980
Bette Davis Eyes,17,It whets her appetite,1980
Bette Davis Eyes,18,She'll lay you on her throne,1980
Bette Davis Eyes,19,She got Bette Davis eyes,1980
Bette Davis Eyes,20,She'll take a tumble on you,1980
Bette Davis Eyes,21,Roll you like you were dice,1980
Bette Davis Eyes,22,Until you come up blue,1980
Bette Davis Eyes,23,She's got Bette Davis eyes,1980
Bette Davis Eyes,24,She'll expose you,1980
Bette Davis Eyes,25,When she snows you,1980
Bette Davis Eyes,26,Off your feet with the crumbs she throws you,1980
Bette Davis Eyes,27,She's ferocious and she knows just,1980
Bette Davis Eyes,28,What it takes to make a pro blush,1980
Bette Davis Eyes,29,All the boys think she's a spy,1980
Bette Davis Eyes,30,She's got Bette Davis eyes,1980
Bette Davis Eyes,31,And she'll tease you,1980
Bette Davis Eyes,32,She'll unease you,1980
Bette Davis Eyes,33,All the better just to please you,1980
Bette Davis Eyes,34,She's precocious and she knows just,1980
Bette Davis Eyes,35,What it takes to make a pro blush,1980
Bette Davis Eyes,36,All the boys think she's a spy,1980
Bette Davis Eyes,37,She's got Bette Davis eyes,1980
Bette Davis Eyes,38,She'll tease you,1980
Bette Davis Eyes,39,She'll unease you,1980
Bette Davis Eyes,40,Just to please ya,1980
Bette Davis Eyes,41,She's got Bette Davis eyes,1980
Bette Davis Eyes,42,She'll expose you,1980
Bette Davis Eyes,43,When she snows you,1980
