"","track_title","word","decade","n"
"1","Uptown Funk","doh",2010,221
"2","Yeah!","yeah",2000,79
"3","Low","low",2000,65
"4","Girls Like You","yeah",2010,63
"5","Uptown Funk","funk",2010,29
"6","Uptown Funk","uptown",2010,29
"7","How You Remind Me","yeah",2000,26
"8","I Gotta Feeling","night",2000,26
"9","I Gotta Feeling","tonight's",2000,26
"10","Shape of You","love",2010,25
"11","I Gotta Feeling","gonna",2000,24
"12","Party Rock Anthem","hands",2010,22
"13","Physical","physical",1980,20
"14","Too Close","real",1990,20
"15","Physical","talk",1980,18
"16","Uptown Funk","watch",2010,18
"17","Physical","body",1980,17
"18","Shape of You","body",2010,17
"19","Low","flo",2000,16
"20","Low","hit",2000,16
"21","Un-Break My Heart","love",1990,16
"22","Uptown Funk","hot",2010,16
"23","Every Breath You Take","watching",1980,15
"24","Girls Like You","girl",2010,15
"25","Low","shawty",2000,14
"26","Shape of You","baby",2010,14
"27","Un-Break My Heart","heart",1990,13
"28","(Everything I Do) I Do It for You","yeah",1990,12
"29","Endless Love","love",1980,12
"30","Physical","hear",1980,12
"31","Un-Break My Heart","break",1990,12
"32","Eye of the Tiger","eye",1980,10
"33","Eye of the Tiger","tiger",1980,10
"34","How Do I Live","live",1990,10
"35","Low","mmm",2000,10
"36","Party Rock Anthem","rock",2010,10
"37","Too Close","baby",1990,10
"38","Too Close","close",1990,10
"39","Too Close","dancin",1990,10
"40","Bette Davis Eyes","bette",1980,9
"41","Bette Davis Eyes","davis",1980,9
"42","Bette Davis Eyes","eyes",1980,9
"43","How You Remind Me","remind",2000,9
"44","Party Rock Anthem","yo",2010,9
"45","Uptown Funk","hey",2010,9
"46","Every Breath You Take","move",1980,8
"47","I Gotta Feeling","feelin",2000,8
"48","Low","fur",2000,8
"49","Low","straps",2000,8
"50","Party Rock Anthem","party",2010,8
"51","Party Rock Anthem","time",2010,8
"52","Party Rock Anthem","woo",2010,8
"53","Too Close","excited",1990,8
"54","Uptown Funk","damn",2010,8
"55","Uptown Funk","girls",2010,8
"56","Yeah!","clap",2000,8
"57","Yeah!","hey",2000,8
"58","Every Breath You Take","break",1980,7
"59","Girls Like You","girls",2010,7
"60","How Do I Live","baby",1990,7
"61","Party Rock Anthem","sound",2010,7
"62","Too Close","hard",1990,7
"63","Too Close","slow",1990,7
"64","Uptown Funk","gon",2010,7
"65","Uptown Funk","hit",2010,7
"66","Closer","pull",2010,6
"67","Every Breath You Take","night",1980,6
"68","Every Breath You Take","step",1980,6
"69","How You Remind Me","fun",2000,6
"70","I Gotta Feeling","fee",2000,6
"71","I Gotta Feeling","ooh",2000,6
"72","I Gotta Feeling","wooh",2000,6
"73","Party Rock Anthem","shake",2010,6
"74","Party Rock Anthem","yeah",2010,6
"75","Physical","wanna",1980,6
"76","Shape of You","brand",2010,6
"77","Shape of You","day",2010,6
"78","Shape of You","discovering",2010,6
"79","Shape of You","follow",2010,6
"80","Shape of You","lead",2010,6
"81","Shape of You","shape",2010,6
"82","Too Close","fight",1990,6
"83","Too Close","grindin",1990,6
"84","Too Close","makin",1990,6
"85","Too Close","ooh",1990,6
"86","Too Close","yeah",1990,6
"87","Un-Break My Heart","nights",1990,6
"88","Un-Break My Heart","walked",1990,6
"89","Uptown Funk","hallelujah",2010,6
"90","Uptown Funk","woo",2010,6
"91","(Everything I Do) I Do It for You","search",1990,5
"92","(Everything I Do) I Do It for You","worth",1990,5
"93","Every Breath You Take","day",1980,5
"94","Every Breath You Take","game",1980,5
"95","Every Breath You Take","play",1980,5
"96","Every Breath You Take","single",1980,5
"97","Every Breath You Take","stay",1980,5
"98","Every Breath You Take","word",1980,5
"99","Eye of the Tiger","rising",1980,5
"100","Foolish Games","heart",1990,5
"101","Girls Like You","spent",2010,5
"102","How Do I Live","life",1990,5
"103","I Gotta Feeling","live",2000,5
"104","Low","jeans",2000,5
"105","No One","feel",2000,5
"106","Party Rock Anthem","gon",2010,5
"107","Party Rock Anthem","house",2010,5
"108","Party Rock Anthem","lose",2010,5
"109","Party Rock Anthem","mind",2010,5
"110","Party Rock Anthem","tonight",2010,5
"111","Physical","animal",1980,5
"112","Un-Break My Heart","leave",1990,5
"113","Un-Break My Heart","life",1990,5
"114","Un-Break My Heart","tears",1990,5
"115","Yeah!","low",2000,5
"116","Yeah!","shorty",2000,5
"117","(Everything I Do) I Do It for You","heart",1990,4
"118","Closer","stop",2010,4
"119","Every Breath You Take","claim",1980,4
"120","Every Breath You Take","fake",1980,4
"121","Every Breath You Take","smile",1980,4
"122","Every Breath You Take","stake",1980,4
"123","Every Breath You Take","vow",1980,4
"124","Eye of the Tiger","fight",1980,4
"125","Foolish Games","breaking",1990,4
"126","Foolish Games","tearing",1990,4
"127","Girls Like You","babe",2010,4
"128","Girls Like You","guys",2010,4
"129","Girls Like You","round",2010,4
"130","Girls Like You","run",2010,4
"131","Girls Like You","sundown",2010,4
"132","Girls Like You","til",2010,4
"133","How You Remind Me","head",2000,4
"134","How You Remind Me","words",2000,4
"135","Low","apple",2000,4
"136","Low","ayy",2000,4
"137","Low","baggy",2000,4
"138","Low","boots",2000,4
"139","Low","booty",2000,4
"140","Low","bottom",2000,4
"141","Low","club",2000,4
"142","Low","lookin",2000,4
"143","Low","pants",2000,4
"144","Low","reeboks",2000,4
"145","Low","smack",2000,4
"146","Low","sweat",2000,4
"147","No One","alright",2000,4
"148","No One","everything's",2000,4
"149","No One","people",2000,4
"150","Party Rock Anthem","shufflin",2010,4
"151","Party Rock Anthem","wanna",2010,4
"152","Shape of You","talk",2010,4
"153","Too Close","girl",1990,4
"154","Un-Break My Heart","bring",1990,4
"155","Uptown Funk","ah",2010,4
"156","Uptown Funk","whaa",2010,4
"157","Yeah!","booty",2000,4
"158","Yeah!","homies",2000,4
"159","Yeah!","lil",2000,4
"160","Yeah!","muscle",2000,4
"161","Yeah!","rewind",2000,4
"162","Yeah!","rock",2000,4
"163","Yeah!","thunder",2000,4
"164","Yeah!","told",2000,4
"165","(Everything I Do) I Do It for You","love",1990,3
"166","(Everything I Do) I Do It for You","nothin",1990,3
"167","(Everything I Do) I Do It for You","true",1990,3
"168","Bette Davis Eyes","blush",1980,3
"169","Bette Davis Eyes","pro",1980,3
"170","Bette Davis Eyes","takes",1980,3
"171","Bette Davis Eyes","tease",1980,3
"172","Bette Davis Eyes","unease",1980,3
"173","Closer","afford",2010,3
"174","Closer","baby",2010,3
"175","Closer","backseat",2010,3
"176","Closer","bite",2010,3
"177","Closer","boulderwe",2010,3
"178","Closer","closer",2010,3
"179","Closer","corner",2010,3
"180","Closer","mattress",2010,3
"181","Closer","roommate",2010,3
"182","Closer","rover",2010,3
"183","Closer","sheets",2010,3
"184","Closer","shoulder",2010,3
"185","Closer","stole",2010,3
"186","Closer","tattoo",2010,3
"187","Endless Love","endless",1980,3
"188","Endless Love","eyes",1980,3
"189","Every Breath You Take","bond",1980,3
"190","Every Breath You Take","breath",1980,3
"191","Eye of the Tiger","challenge",1980,3
"192","Eye of the Tiger","night",1980,3
"193","Eye of the Tiger","prey",1980,3
"194","Eye of the Tiger","rival",1980,3
"195","Eye of the Tiger","stalks",1980,3
"196","Eye of the Tiger","survive",1980,3
"197","Eye of the Tiger","survivor",1980,3
"198","Eye of the Tiger","thrill",1980,3
"199","Eye of the Tiger","watching",1980,3
"200","Foolish Games","stood",1990,3
"201","Girls Like You","fun",2010,3
"202","Girls Like You","love",2010,3
"203","How Do I Live","breathe",1990,3
"204","How Do I Live","leave",1990,3
"205","How Do I Live","survive",1990,3
"206","How You Remind Me","bottle",2000,3
"207","How You Remind Me","bottom",2000,3
"208","How You Remind Me","breaking",2000,3
"209","How You Remind Me","handing",2000,3
"210","How You Remind Me","heart",2000,3
"211","How You Remind Me","mistaken",2000,3
"212","How You Remind Me","scream",2000,3
"213","How You Remind Me","story",2000,3
"214","How You Remind Me","time",2000,3
"215","How You Remind Me","waiting",2000,3
"216","How You Remind Me","worth",2000,3
"217","How You Remind Me","wrong",2000,3
"218","I Gotta Feeling","fill",2000,3
"219","I Gotta Feeling","god",2000,3
"220","I Gotta Feeling","paint",2000,3
"221","I Gotta Feeling","rock",2000,3
"222","I Gotta Feeling","shut",2000,3
"223","I Gotta Feeling","smash",2000,3
"224","I Gotta Feeling","spend",2000,3
"225","I Gotta Feeling","town",2000,3
"226","Low","em",2000,3
"227","Low","stacks",2000,3
"228","Low","talk",2000,3
"229","No One","feelin",2000,3
"230","Party Rock Anthem","baby",2010,3
"231","Party Rock Anthem","feel",2010,3
"232","Shape of You","bed",2010,3
"233","Shape of You","falling",2010,3
"234","Shape of You","heart",2010,3
"235","Shape of You","magnet",2010,3
"236","Shape of You","night",2010,3
"237","Shape of You","pull",2010,3
"238","Shape of You","push",2010,3
"239","Shape of You","sheets",2010,3
"240","Shape of You","smell",2010,3
"241","Too Close","boo",1990,3
"242","Too Close","feel",1990,3
"243","Too Close","shake",1990,3
"244","Un-Break My Heart","caused",1990,3
"245","Un-Break My Heart","cried",1990,3
"246","Un-Break My Heart","cry",1990,3
"247","Un-Break My Heart","door",1990,3
"248","Un-Break My Heart","hurt",1990,3
"249","Un-Break My Heart","pain",1990,3
"250","Un-Break My Heart","undo",1990,3
"251","Uptown Funk","night",2010,3
"252","Uptown Funk","saturday",2010,3
"253","Uptown Funk","spot",2010,3
"254","Yeah!","beat",2000,3
"255","Yeah!","caught",2000,3
"256","Yeah!","em",2000,3
"257","Yeah!","forgot",2000,3
"258","Yeah!","girl",2000,3
"259","Yeah!","jon",2000,3
"260","Yeah!","leave",2000,3
"261","Yeah!","ready",2000,3
"262","Yeah!","screaming",2000,3
"263","Yeah!","town",2000,3
"264","Yeah!","watch",2000,3
"265","(Everything I Do) I Do It for You","die",1990,2
"266","(Everything I Do) I Do It for You","soul",1990,2
"267","(Everything I Do) I Do It for You","time",1990,2
"268","(Everything I Do) I Do It for You","tryin",1990,2
"269","(Everything I Do) I Do It for You","walk",1990,2
"270","(Everything I Do) I Do It for You","wire",1990,2
"271","Bette Davis Eyes","boys",1980,2
"272","Bette Davis Eyes","expose",1980,2
"273","Bette Davis Eyes","precocious",1980,2
"274","Bette Davis Eyes","snows",1980,2
"275","Bette Davis Eyes","spy",1980,2
"276","Bette Davis Eyes","ya",1980,2
"277","Closer","bar",2010,2
"278","Closer","breaks",2010,2
"279","Closer","broke",2010,2
"280","Closer","car",2010,2
"281","Closer","city",2010,2
"282","Closer","heart",2010,2
"283","Closer","hey",2010,2
"284","Closer","hotel",2010,2
"285","Closer","lookin",2010,2
"286","Closer","met",2010,2
"287","Closer","moved",2010,2
"288","Closer","pretty",2010,2
"289","Endless Love","boom",1980,2
"290","Endless Love","hearts",1980,2
"291","Endless Love","mind",1980,2
"292","Every Breath You Take","aches",1980,2
"293","Every Breath You Take","baby",1980,2
"294","Every Breath You Take","belong",1980,2
"295","Every Breath You Take","heart",1980,2
"296","Every Breath You Take","poor",1980,2
"297","Eye of the Tiger","distance",1980,2
"298","Eye of the Tiger","glory",1980,2
"299","Eye of the Tiger","street",1980,2
"300","Foolish Games","coat",1990,2
"301","Foolish Games","crazy",1990,2
"302","Foolish Games","failed",1990,2
"303","Foolish Games","foolish",1990,2
"304","Foolish Games","games",1990,2
"305","Foolish Games","honest",1990,2
"306","Foolish Games","loved",1990,2
"307","Foolish Games","rain",1990,2
"308","Foolish Games","thoughtless",1990,2
"309","Foolish Games","words",1990,2
"310","Girls Like You","backwood",2010,2
"311","Girls Like You","close",2010,2
"312","Girls Like You","hours",2010,2
"313","Girls Like You","ooh",2010,2
"314","Girls Like You","play",2010,2
"315","Girls Like You","roll",2010,2
"316","Girls Like You","tryna",2010,2
"317","How Do I Live","lost",1990,2
"318","How Do I Live","there'd",1990,2
"319","How Do I Live","world",1990,2
"320","How You Remind Me","cut",2000,2
"321","How You Remind Me","living",2000,2
"322","How You Remind Me","poor",2000,2
"323","How You Remind Me","stealing",2000,2
"324","How You Remind Me","wise",2000,2
"325","I Gotta Feeling","burn",2000,2
"326","I Gotta Feeling","cup",2000,2
"327","I Gotta Feeling","dancing",2000,2
"328","I Gotta Feeling","day",2000,2
"329","I Gotta Feeling","easy",2000,2
"330","I Gotta Feeling","jump",2000,2
"331","I Gotta Feeling","kick",2000,2
"332","I Gotta Feeling","mazel",2000,2
"333","I Gotta Feeling","money",2000,2
"334","I Gotta Feeling","move",2000,2
"335","I Gotta Feeling","party",2000,2
"336","I Gotta Feeling","roof",2000,2
"337","I Gotta Feeling","round",2000,2
"338","I Gotta Feeling","saturday",2000,2
"339","I Gotta Feeling","sofa",2000,2
"340","I Gotta Feeling","tov",2000,2
"341","Low","cash",2000,2
"342","Low","guap",2000,2
"343","Low","hmm",2000,2
"344","Low","rain",2000,2
"345","Low","ready",2000,2
"346","Low","sexy",2000,2
"347","Low","that'll",2000,2
"348","Low","whoa",2000,2
"349","No One","days",2000,2
"350","No One","gonna",2000,2
"351","No One","nights",2000,2
"352","No One","talking",2000,2
"353","No One","worry",2000,2
"354","Party Rock Anthem","day",2010,2
"355","Party Rock Anthem","girl",2010,2
"356","Party Rock Anthem","half",2010,2
"357","Party Rock Anthem","money",2010,2
"358","Party Rock Anthem","roll",2010,2
"359","Party Rock Anthem","stop",2010,2
"360","Physical","gotta",1980,2
"361","Shape of You","boy",2010,2
"362","Shape of You","crazy",2010,2
"363","Shape of You","fill",2010,2
"364","Shape of You","girl",2010,2
"365","Shape of You","grab",2010,2
"366","Shape of You","handmade",2010,2
"367","Shape of You","hours",2010,2
"368","Shape of You","mind",2010,2
"369","Shape of You","singing",2010,2
"370","Shape of You","start",2010,2
"371","Shape of You","waist",2010,2
"372","Too Close","comin",1990,2
"373","Too Close","kinda",1990,2
"374","Too Close","love",1990,2
"375","Too Close","move",1990,2
"376","Too Close","poke",1990,2
"377","Too Close","step",1990,2
"378","Too Close","stop",1990,2
"379","Too Close","wanna",1990,2
"380","Un-Break My Heart","held",1990,2
"381","Un-Break My Heart","rain",1990,2
"382","Un-Break My Heart","unkind",1990,2
"383","Uptown Funk","band",2010,2
"384","Uptown Funk","bout",2010,2
"385","Uptown Funk","break",2010,2
"386","Uptown Funk","call",2010,2
"387","Uptown Funk","dance",2010,2
"388","Uptown Funk","dragon",2010,2
"389","Uptown Funk","fireman",2010,2
"390","Uptown Funk","flaunt",2010,2
"391","Uptown Funk","jump",2010,2
"392","Uptown Funk","money",2010,2
"393","Uptown Funk","police",2010,2
"394","Uptown Funk","retire",2010,2
"395","Uptown Funk","sexy",2010,2
"396","Uptown Funk","wanna",2010,2
"397","Yeah!","club",2000,2
"398","Yeah!","dance",2000,2
"399","Yeah!","game",2000,2
"400","Yeah!","head",2000,2
"401","Yeah!","i'ma",2000,2
"402","Yeah!","ludacris",2000,2
"403","Yeah!","stomp",2000,2
"404","(Everything I Do) I Do It for You","babe",1990,1
"405","(Everything I Do) I Do It for You","darling",1990,1
"406","(Everything I Do) I Do It for You","dyin",1990,1
"407","(Everything I Do) I Do It for You","dying",1990,1
"408","(Everything I Do) I Do It for You","eyes",1990,1
"409","(Everything I Do) I Do It for You","fight",1990,1
"410","(Everything I Do) I Do It for You","fightin",1990,1
"411","(Everything I Do) I Do It for You","hand",1990,1
"412","(Everything I Do) I Do It for You","hide",1990,1
"413","(Everything I Do) I Do It for You","lie",1990,1
"414","(Everything I Do) I Do It for You","life",1990,1
"415","(Everything I Do) I Do It for You","ow",1990,1
"416","(Everything I Do) I Do It for You","sacrifice",1990,1
"417","Bette Davis Eyes","appetite",1980,1
"418","Bette Davis Eyes","blue",1980,1
"419","Bette Davis Eyes","cold",1980,1
"420","Bette Davis Eyes","crumbs",1980,1
"421","Bette Davis Eyes","dice",1980,1
"422","Bette Davis Eyes","feet",1980,1
"423","Bette Davis Eyes","ferocious",1980,1
"424","Bette Davis Eyes","garbo",1980,1
"425","Bette Davis Eyes","gold",1980,1
"426","Bette Davis Eyes","greta",1980,1
"427","Bette Davis Eyes","hair",1980,1
"428","Bette Davis Eyes","hands",1980,1
"429","Bette Davis Eyes","harlow",1980,1
"430","Bette Davis Eyes","home",1980,1
"431","Bette Davis Eyes","lay",1980,1
"432","Bette Davis Eyes","lips",1980,1
"433","Bette Davis Eyes","music",1980,1
"434","Bette Davis Eyes","pure",1980,1
"435","Bette Davis Eyes","roll",1980,1
"436","Bette Davis Eyes","sighs",1980,1
"437","Bette Davis Eyes","snow",1980,1
"438","Bette Davis Eyes","stand",1980,1
"439","Bette Davis Eyes","surprise",1980,1
"440","Bette Davis Eyes","sweet",1980,1
"441","Bette Davis Eyes","throne",1980,1
"442","Bette Davis Eyes","throws",1980,1
"443","Bette Davis Eyes","tumble",1980,1
"444","Bette Davis Eyes","whets",1980,1
"445","Bette Davis Eyes","york",1980,1
"446","Closer","182",2010,1
"447","Closer","beat",2010,1
"448","Closer","blink",2010,1
"449","Closer","call",2010,1
"450","Closer","calls",2010,1
"451","Closer","day",2010,1
"452","Closer","death",2010,1
"453","Closer","drink",2010,1
"454","Closer","fine",2010,1
"455","Closer","forget",2010,1
"456","Closer","friends",2010,1
"457","Closer","hope",2010,1
"458","Closer","insane",2010,1
"459","Closer","issue",2010,1
"460","Closer","left",2010,1
"461","Closer","meet",2010,1
"462","Closer","nice",2010,1
"463","Closer","play",2010,1
"464","Closer","song",2010,1
"465","Closer","stay",2010,1
"466","Closer","tucson",2010,1
"467","Endless Love","arms",1980,1
"468","Endless Love","beat",1980,1
"469","Endless Love","begun",1980,1
"470","Endless Love","breath",1980,1
"471","Endless Love","bright",1980,1
"472","Endless Love","care",1980,1
"473","Endless Love","charms",1980,1
"474","Endless Love","close",1980,1
"475","Endless Love","deny",1980,1
"476","Endless Love","fool",1980,1
